merged_id,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,avg_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity
1,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",56,56,18,8,8,13.00,18,32,14,23.21,67.86,85.71000000000001,76.78,34,18,26.00
2,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,6,0,0,3.00,6,40,0,20.00,60.0,100.0,80.00,9,0,4.50
3,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,6,3,3,4.50,6,24,12,18.00,76.0,88.0,82.00,12,6,9.00
4,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,2,2,2,2.00,2,7,7,7.14,92.86,92.86,92.86,4,8,6.00
5,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,8,5,5,6.50,8,26,16,21.67,73.33,83.33,78.33,16,10,13.00
6,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,,,,,,,,,,,,,,
7,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,6,14,6,10.00,14,31,73,52.63,68.42,26.319999999999993,47.37,13,50,31.50
8,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,0,,0,0.00,0,0,,0.00,100.0,,100.00,0,,0.00
9,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,12,10,10,11.00,12,70,58,64.70,29.409999999999997,41.18,35.30,28,24,26.00
10,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,11,8,8,9.50,11,57,42,50.00,42.11,57.89,50.00,22,16,19.00
11,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,3,2,2,2.50,3,25,16,20.84,75.0,83.33,79.16,3,2,2.50
12,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,2,2,2,2.00,2,10,9,9.76,90.0,90.48,90.24,3,3,3.00
13,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,8,3,3,5.50,8,14,4,9.41,85.19,96.0,90.59,15,5,10.00
14,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,7,0,0,3.50,7,4,0,2.25,95.51,100.0,97.75,17,0,8.50
15,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",14,14,1,1,1,1.00,1,7,7,7.14,92.86,92.86,92.86,2,4,3.00
16,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",99,99,20,2,2,11.00,20,20,2,11.11,79.8,97.98,88.89,40,4,22.00
17,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",40,37,2,2,2,2.00,2,5,5,5.21,95.0,94.59,94.80,4,4,4.00
18,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",40,40,73,9,9,41.00,73,182,22,102.50,-82.5,77.5,-2.50,147,20,83.50
19,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",29,28,2,2,2,2.00,2,6,7,7.02,93.1,92.86,92.98,5,6,5.50
20,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",25,30,35,5,5,20.00,35,140,16,78.34,-40.0,83.33,21.66,75,9,42.00
21,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",65,66,,0,0,0.00,0,,0,0.00,,100.0,100.00,,0,0.00
22,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",44,29,0,6,0,3.00,6,0,20,10.35,100.0,79.31,89.66,0,16,8.00
23,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",23,23,9,5,5,7.00,9,39,21,30.44,60.87,78.26,69.56,17,9,13.00
24,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",119,120,60,14,14,37.00,60,50,11,31.05,49.58,88.33,68.95,87,34,60.50
