merged_id,city,name,address,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,occupancy_percent,ostrovok_capacity,tvil_capacity
1,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",35,7,7,21.00,35,37.50,60,15
2,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",12,10,10,11.00,12,73.34,19,18
3,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",,0,0,0.00,0,0.00,,0
4,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",16,8,8,12.00,16,42.86,31,22
5,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",18,8,8,13.00,18,43.34,34,15
6,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",108,14,14,61.00,108,20.34,185,24
7,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",8,8,8,8.00,8,42.11,15,32
8,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",47,10,10,28.50,47,81.43,83,20
9,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",11,0,0,5.50,11,32.35,22,0
10,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",8,7,7,7.50,8,39.48,16,14
11,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",,4,4,4.00,4,33.33,,7
12,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",10,9,9,9.50,10,46.43,17,16
13,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",50,7,7,28.50,50,50.96,94,13
14,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",215,8,8,111.50,215,74.17,449,22
15,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",13,8,8,10.50,13,75.00,26,24
16,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",58,2,2,30.00,58,30.31,120,4
17,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",,,,,,,,
18,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",70,8,8,39.00,70,97.50,140,17
19,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",3,3,3,3.00,3,10.53,5,8
20,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",33,6,6,19.50,33,76.00,71,12
21,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",9,3,3,6.00,9,9.20,17,6
22,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",0,5,0,2.50,5,8.62,0,13
23,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",16,7,7,11.50,16,50.00,29,12
24,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",84,14,14,49.00,84,41.13,137,34
25,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",0,2,0,1.00,2,6.67,0,4
26,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",8,3,3,5.50,8,17.74,16,6
27,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",,,,,,,,
28,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",7,3,3,5.00,7,30.00,12,5
29,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",32,6,6,19.00,32,43.19,74,14
30,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",4,4,4,4.00,4,7.15,4,8
31,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",,,,,,,,
32,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",8,7,7,7.50,8,12.71,15,15
