merged_id,city,name,address,ostrovok_rooms_number,tvil_rooms_number,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,ostrovok_free_rooms_pct,tvil_free_rooms_pct,ostrovok_occupancy_pct,tvil_occupancy_pct,avg_occupancy_pct,ostrovok_capacity,tvil_capacity,avg_capacity
1,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",56,56,64,9,9,36.50,64,114,16,-14.290000000000006,83.93,34.82,118,21,69.50
2,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",15,15,13,0,0,6.50,13,86,0,13.329999999999998,100.0,56.66,22,0,11.00
3,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",25,25,10,7,7,8.50,10,40,28,60.0,72.0,66.00,23,16,19.50
4,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",28,28,34,8,8,21.00,34,121,28,-21.430000000000007,71.43,25.00,67,22,44.50
5,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",30,30,22,10,10,16.00,22,73,33,26.67,66.67,46.67,38,17,27.50
6,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",300,300,107,14,14,60.50,107,35,4,64.33,95.33,79.83,177,24,100.50
7,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",19,19,10,0,0,5.00,10,52,0,47.37,100.0,73.69,19,0,9.50
8,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",35,35,47,10,10,28.50,47,134,28,-34.28999999999999,71.43,18.57,83,20,51.50
9,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",17,17,14,10,10,12.00,14,82,58,17.650000000000006,41.18,29.42,28,22,25.00
10,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",19,19,10,9,9,9.50,10,52,47,47.37,52.63,50.00,20,18,19.00
11,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",12,12,,,,,,,,,,,,,
12,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",20,21,3,3,3,3.00,3,15,14,85.0,85.71000000000001,85.36,4,6,5.00
13,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",54,75,12,3,3,7.50,12,22,4,77.78,96.0,86.89,19,4,11.50
14,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",156,76,163,6,6,84.50,163,104,7,-4.489999999999995,92.11,43.81,331,16,173.50
