ostrovok_address,tvil_address,address_score,ostrovok_name,tvil_name,name_score,match_type
"улица Свердлова, д.19, Иркутск","Иркутск, улица Свердлова, 19",100,Гостиничный Комплекс Русь,"Гостиница ""Русь""",62,address
"Подгорная улица, д.16, Иркутск","Иркутск, Подгорная улица, 16",100,Отель Доходный дом Листратовой,"Доходный дом ""М.А. Листратовой""",86,address
"улица Тимирязева, д.9, Иркутск","Иркутск, улица Тимирязева, 9",100,Отель Яковлевъ,"Отель ""Яковлевъ""",100,address
"улица Карла Либкнехта, д. 85, Иркутск","Иркутск, улица Карла Либкнехта, 85",100,Отель Nuur Hotel,"Отель""NUUR HOTEL""",100,address
"улица Пролетарская, д.7, Иркутск","Иркутск, Пролетарская улица, 7",100,Отель Иркут,"Отель ""Иркут""",100,address
"улица Сухэ-Батора, д.7, Иркутск","Иркутск, улица Сухэ-Батора, 7",100,Ангара Отель,"Гостиница ""Ангара""",64,address
"улица Ядринцева, д. 88, Иркутск","Иркутск, улица Ядринцева, 88",100,Гостиница 7 дорог,"Гостиница ""7 дорог""",100,address
"Улица Софьи Перовской, д.31/1, Иркутск","Иркутск, улица Софьи Перовской, 31",100,Отель Матрешка,"Гостиница ""Матрёшка""",44,address
"улица Ленина, д.34, Иркутск","Иркутск, улица Ленина, 34",100,Отель Амурский,Отель Амурский,100,address
"улица Ядринцева, 1/7, Иркутск","Иркутск, улица Ядринцева, 1/7",100,Отель Азия-Европа,"Гостиница ""Азия-Европа""",58,address
"улица Ленина, д.9, Иркутск","Иркутск, улица Ленина, 9",100,Отель Аристократ,"Бутик-отель ""Аристократ""",84,address
"улица Депутатская, д. 36, Иркутск","Иркутск, Депутатская улица, 36",100,Отель Михаил Строгов,"Отель ""Михаил Строгов""",100,address
"улица Горького, дом 85а, Листвянка","Листвянка, улица Горького, 85А",100,Отель Маяк,"Отель ""Маяк""",100,address
"улица Советская, д.58/1, Иркутск","Иркутск, Советская улица, 58/1",100,Отель Форест,"Гостиница ""Байкал Форест""",51,address
"улица Седова, д.10, Иркутск","Иркутск, улица Седова, 10",100,Отель Купеческий Дворъ,"Отель ""Купеческий Дворъ""",100,address
"улица Российская, д. 17, Хужир","Хужир, Российская, 17",100,Baikal View Hotel,"Гостиница ""BAIKAL VIEW""",58,address
"улица Ворошилова, д. 18, Хужир","Хужир, улица Ворошилова, 18",100,Отель Байкал-Хан Ольхон,"Отель ""Байкал Хан Ольхон""",100,address
"улица Ширямова, д.33, Иркутск","Иркутск, улица Ширямова, 33",100,Отель Армат,Отель Армат 4*,92,address
"проезд Атласова, д.9, Иркутск","Иркутск, проезд Атласова, 9",100,Гостиница Атлас,"Отель ""Атлас""",62,address
"Улица Звездинская, д. 5/1, Иркутск","Иркутск, Звездинская улица, 5",100,Отель на Звездинской,"Гостиница ""На Звездинской""",64,address
"Байкальская улица, д. 252Б, Иркутск","Иркутск, Байкальская улица, 252Б",100,Гостиница Лазурный берег,"Гостиничный комплекс ""Лазурный берег""",75,address
"улица Светлая, д.5, Хужир","Хужир, Светлая улица, 5",100,Отель БайкалВуд,Гостиница,17,address
"микрорайон Юбилейный, д. 118, Иркутск","Иркутск, микрорайон Юбилейный, 118",100,Гостиница Юбилейная,"Гостиница ""Юбилейная""",100,address
"Улица Дальневосточная, д.156, Иркутск","Иркутск, Дальневосточная, 156",100,Отель Байкал - Северное Море,"Гостиница ""Байкал - Северное море""",71,address
"улица Куликова, д.44, Листвянка","Листвянка, улица Куликова, 44",100,Отель Даурия,"Отель ""Даурия""",100,address
"Квартал Б, д.13, Ангарск","Ангарск, квартал Б, 13",100,Отель Ангара-Приоритет,"Гостиница ""Ангара-Приоритет""",79,address
"улица Лесная, д. 32, Хужир","Хужир, Лесная улица, 32",100,Семейный отель Дача БайкалЭко,Дача БайкалЭко,65,address
"улица Октябрьская, д.1 Б, Нижнеудинск","Нижнеудинск, Октябрьская улица, 1-Б",100,Октябрьская,Гостиница,30,address
"улица Сурикова, д.4в, Иркутск","Иркутск, улица Сурикова, 4В",100,Отель Тайга,"Отель ""Тайга""",100,address
"бульвар Победы, д.30, Братск","Братск, бульвар Победы, 30",100,Клубный Квартал,"Отель ""Клубный Квартал""",83,address
"улица Седова, 4, Иркутск","Иркутск, улица Седова, 4",100,Отель North Star,"Гостиница ""Nord Star Hotel""",54,address
"улица Байкальская, д.279, Иркутск","Иркутск, Байкальская улица, 279",100,Отель Байкал Бизнес Центр,"Отель ""Байкал Бизнес Центр""",100,address
"микрорайон Приморский, д.24 А, Иркутск","Иркутск, микрорайон Приморский, 24-А",100,Гостиница Альпари,Отель «Альпари»,67,address
"улица Марата, д. 109, Черемхово","Черемхово, улица Марата, 109",100,Shelest,"Парк-Отель ""Шелест""",0,address
"улица Свердлова,19, Иркутск","Иркутск, улица Свердлова, 19",100,Гостиничный Комплекс Русь,"Гостиница ""Русь""",62,address
"улица Октябрьской Революции, 11, Иркутск","Иркутск, улица Октябрьской Революции, 11",100,Отель Автовокзал,"Гостиница ""Автовокзал""",72,address
"Байкальская улица, стр. 64/4, Хужир","Хужир, Байкальская улица, 64/4",100,Отель Точка Байкала,"Отель ""Точка Байкала""",100,address
"Гагарина микрорайон, 2а, Байкальск","Байкальск, микрорайон Гагарина, 2-А",98,Отель Космос,"Гостиница ""Космос""",43,address
"квартал Красный Ключ, д.90, Байкальск","Байкальск, Россия, Иркутская область, Слюдянский район, Байкальск, квартал Красный Ключ, 90",97,Парк-отель Соболинка,"Парк-отель ""Соболинка""",100,name
"улица Лесная, д.1, Бурдугуз","Иркутск, Большереченское муниципальное образование, посёлок Бурдугуз, Лесная улица, 1",96,Парк-Отель Бурдугуз,"Парк-отель ""Бурдугуз""",100,name
"улица Горького, д.31Б, Листвянка","Листвянка, улица Горького, 31",95,Отель Подлеморье,"Отель ""Подлеморье""",100,name
"Байкальская улица, д.14 Б, Иркутск","Иркутск, Байкальская улица, 14Б",95,Отель Лотос,"Отель ""Лотос""",100,name
"улица Ядринцева, д. 1Ж, Иркутск","Иркутск, улица Ядринцева, 1-Ж",95,Отель Звезда,"Отель ""Звезда""",100,name
"ул. Курчатова 65, Братск, Братск","Братск, улица Курчатова, 65",94,Отель Белый берег,"Отель ""Белый Берег""",100,name
"мкр. Красный Ключ, 91, Байкальск","Байкальск, Слюдянский район, Байкальск, квартал Красный Ключ, 91",93,Отель Гранд Байкал,"Отель ""Гранд Байкал""",100,name
"Ржанова ул., д. 43, Иркутск","Иркутск, улица Ржанова, 43",89,Гостиница У Истока,"Гостиница ""У Истока""",100,name
"тер. база отдыха Алтан, стр. 1, Сарма","деревня Сарма, территория база отдыха «Алтан», б/н",82,Парк-Отель Алтан,"Парк-отель ""Алтан""",100,name
"улица Мира, дом 35, Братск","Иркутск, улица Сурикова, 4В",57,Отель Тайга,"Отель ""Тайга""",100,name
