merged_id,match_type,address_score,name_score,city,name,address,lat,lon,rooms_number,ostrovok_ota_hotel_id,ostrovok_master_id,ostrovok_name,ostrovok_address,ostrovok_url,ostrovok_rooms_number,tvil_hotel_id,tvil_name,tvil_address,tvil_url,tvil_rooms_number
1,address,100,62,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",52.284284,104.279035,56,,,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",,,1296851,"Гостиница ""Русь""","Иркутск, улица Свердлова, 19",https://tvil.ru/city/irkutsk/hotels/1296851/,56
2,address,100,86,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",52.277744,104.29269,15,dohodnyij_dom_listratvoj_butikhotel,9024017,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9024017/dohodnyij_dom_listratvoj_butikhotel,15,1129766,"Доходный дом ""М.А. Листратовой""","Иркутск, Подгорная улица, 16",https://tvil.ru/city/irkutsk/hotels/1129766/,15
3,address,100,100,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",52.27755,104.28911,25,yakovlev_hotel,8742012,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8742012/yakovlev_hotel,25,1367731,"Отель ""Яковлевъ""","Иркутск, улица Тимирязева, 9",https://tvil.ru/city/irkutsk/hotels/1367731/,25
4,address,100,100,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",52.28169,104.30685,28,hotel_nuur_hotel,13174758,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13174758/hotel_nuur_hotel,28,1979910,"Отель""NUUR HOTEL""","Иркутск, улица Карла Либкнехта, 85",https://tvil.ru/city/irkutsk/hotels/1979910/,28
5,address,100,100,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",52.288887,104.28529,30,otel_irkut,8348721,Отель Иркут,"улица Пролетарская, д.7, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8348721/otel_irkut,30,1609403,"Отель ""Иркут""","Иркутск, Пролетарская улица, 7",https://tvil.ru/city/irkutsk/hotels/1609403/,30
6,address,100,64,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",52.287533,104.28244,300,angara_hotel,7806182,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7806182/angara_hotel,300,1435824,"Гостиница ""Ангара""","Иркутск, улица Сухэ-Батора, 7",https://tvil.ru/city/irkutsk/hotels/1435824/,300
7,address,100,100,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",52.274845,104.335236,19,7_dorog,7029576,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7029576/7_dorog,19,1462849,"Гостиница ""7 дорог""","Иркутск, улица Ядринцева, 88",https://tvil.ru/city/irkutsk/hotels/1462849/,19
8,address,100,44,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",52.282005,104.30065,35,matreshka_hotel,6332937,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid6332937/matreshka_hotel,35,906031,"Гостиница ""Матрёшка""","Иркутск, улица Софьи Перовской, 31",https://tvil.ru/city/irkutsk/hotels/906031/,35
9,address,100,100,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",52.280666,104.28177,17,amurskiy,9079548,Отель Амурский,"улица Ленина, д.34, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9079548/amurskiy,17,1335449,Отель Амурский,"Иркутск, улица Ленина, 34",https://tvil.ru/city/irkutsk/hotels/1335449/,17
10,address,100,58,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",52.279037,104.336205,19,hotel_aziyayevropa,13393268,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13393268/hotel_aziyayevropa,19,2063101,"Гостиница ""Азия-Европа""","Иркутск, улица Ядринцева, 1/7",https://tvil.ru/city/irkutsk/hotels/2063101/,19
11,address,100,84,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",52.281384,104.281876,12,aristokrat_hotel,8745188,Отель Аристократ,"улица Ленина, д.9, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8745188/aristokrat_hotel,12,1343236,"Бутик-отель ""Аристократ""","Иркутск, улица Ленина, 9",https://tvil.ru/city/irkutsk/hotels/1343236/,12
12,address,100,100,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",52.27365,104.3207,20,mihail_strogov,8469949,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8469949/mihail_strogov,20,904225,"Отель ""Михаил Строгов""","Иркутск, Депутатская улица, 36",https://tvil.ru/city/irkutsk/hotels/904225/,21
13,address,100,100,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",51.847157,104.873566,54,mayak_hotel_listvyanka,7816262,Отель Маяк,"улица Горького, дом 85а, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid7816262/mayak_hotel_listvyanka,54,1000539,"Отель ""Маяк""","Листвянка, улица Горького, 85А",https://tvil.ru/city/listvyanka/hotels/1000539/,75
