ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
victory_hotel_4,Гостиница Виктория,30,14,28,46.67,2026-03-07,5200.00
evropa_hotel,Отель Европа,58,15,18,25.86,2026-03-07,4700.00
tajga_hotel,Отель Тайга,44,4,7,9.09,2026-03-07,5400.00
irkutsk_city_center,Отель Иркутск Сити Центр,206,33,66,16.02,2026-03-07,10500.00
klubnyij_kvartal_apartments,Клубный Квартал,67,24,24,35.82,2026-03-07,3400.00
bajkal_hotel,Отель Байкал,72,1,2,1.39,2026-03-07,16000.00
angara_hotel,Ангара Отель,300,32,35,10.67,2026-03-07,5250.00
miniotel_good_hotel,Мини-Отель Good Hotel,6,6,12,100.0,2026-03-07,2200.00
otel_irkut,Отель Иркут,30,20,36,66.67,2026-03-07,3350.00
gostevoy_dom_holiday_park_on_olkhon,Holiday park on Olkhon,0,3,6,0.0,2026-03-07,5401.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,7,14,15.22,2026-03-07,21000.00
gostinitsa_ustilim,Усть-Илим,80,33,35,41.25,2026-03-07,1815.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,100,33,69,33.0,2026-03-07,8850.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,59,4,6,6.78,2026-03-07,6600.00
inn_business_hall,Отель Business Hall,18,7,13,38.89,2026-03-07,3790.00
north_star_hotel_9,Отель North Star,12,20,50,166.67,2026-03-07,5100.00
archi_apt_apartments,Отель Baikal Archi Apt,7,3,6,42.86,2026-03-07,4725.00
lada_8,Отель Гостиница ЛАДА,22,14,24,63.64,2026-03-07,8400.00
7_dorog,Гостиница 7 дорог,19,2,2,10.53,2026-03-07,6190.00
baikal_forest_hotel,Отель Baikal Forest,156,49,103,31.41,2026-03-07,9013.00
international_hotel_sayen,SAYEN,25,15,30,60.0,2026-03-07,20400.00
hotel_nuur_hotel,Отель Nuur Hotel,28,26,52,92.86,2026-03-07,7800.00
taiga_2,Отель Taiga,101,80,130,79.21,2026-03-07,5591.00
mayak_hotel_listvyanka,Отель Маяк,54,2,2,3.7,2026-03-07,10810.00
minihotel_albatros,Гостиница Альбатрос,12,4,8,33.33,2026-03-07,3000.00
arena_g_irkutsk,Отель Арена Иркутск,15,10,21,66.67,2026-03-07,2443.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,8,7,13,87.5,2026-03-07,4700.00
minihotel_panda,Отель ДиаДэй,9,2,5,22.22,2026-03-07,2880.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,14,1,2,7.14,2026-03-07,12756.00
city_park_hotel_13,Меблированные комнаты City Park,0,3,3,0.0,2026-03-07,2162.00
gostinitsa_undina,Отель Ундина,30,3,4,10.0,2026-03-07,8905.00
mihail_strogov,Отель Михаил Строгов,20,1,1,5.0,2026-03-07,5400.00
aristokrat_hotel,Отель Аристократ,12,5,7,41.67,2026-03-07,4500.00
miniotel_serdtse_baykala,Сердце Байкала,0,2,2,0.0,2026-03-07,20285.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,0,2,4,0.0,2026-03-07,1582.00
atlas_hotel_3,Гостиница Атлас,29,5,11,17.24,2026-03-07,4968.00
malinovka_3,Малиновка,0,6,17,0.0,2026-03-07,4987.00
vozdushnaya_gavan,Отель Воздушная Гавань,140,25,50,17.86,2026-03-07,4834.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,56,23,33,41.07,2026-03-07,3820.00
royal_hotel_33,Отель Рояль,27,16,32,59.26,2026-03-07,4400.00
hotel_soyuz_2,Жилое помещение Союз,84,34,68,40.48,2026-03-07,5600.00
nebo_baykala_guest_house,Небо Байкала,0,2,5,0.0,2026-03-07,3491.00
burduguz_hotel_2,Парк-Отель Бурдугуз,69,7,14,10.14,2026-03-07,19500.00
hotel_aziyayevropa,Отель Азия-Европа,19,13,26,68.42,2026-03-07,3956.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,15,9,15,60.0,2026-03-07,4329.00
amurskiy,Отель Амурский,17,8,16,47.06,2026-03-07,17900.00
armat_hotel,Отель Armat,40,49,97,122.5,2026-03-07,7400.00
empire_hotel_3,Гостиница Империя,49,7,12,14.29,2026-03-07,5100.00
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,25,35,75,140.0,2026-03-07,3362.00
best_eastern_hotel_zvezda,Отель Звезда,65,63,126,96.92,2026-03-07,6991.00
otel_tsentral,Отель Централь,48,25,50,52.08,2026-03-07,8000.00
hotel_barguzin,Меблированные комнаты Баргузин,0,4,4,0.0,2026-03-07,8000.00
lotos_hotel,Отель Лотос,23,10,20,43.48,2026-03-07,1150.00
alpari,Гостиница Альпари,10,1,2,10.0,2026-03-07,4000.00
krestovaya_pad_hotel,Гостиница Крестовая падь,27,0,0,0.0,2026-03-07,
green_hotel_,Грин Отель,22,2,4,9.09,2026-03-07,4772.25
ibis_irkutsk_center,Отель Ибис Иркутск Центр,128,6,11,4.69,2026-03-07,7750.00
yakovlev_hotel,Отель Яковлевъ,25,2,6,8.0,2026-03-07,4000.00
alaniya,Алания,0,11,31,0.0,2026-03-07,4000.00
matreshka_hotel,Отель Матрешка,35,38,68,108.57,2026-03-07,4599.00
hotel_gostinitsa_dinamo,Отель Динамо,39,19,35,48.72,2026-03-07,1140.00
olkhonstory_guest_house,Ольхон стори,6,10,15,166.67,2026-03-07,8500.00
baykal_khan_hotel_olkhon,Отель Байкал-Хан Ольхон,40,5,10,12.5,2026-03-07,16500.00
olkhon_house_guest_family_house,Olkhon Family House,0,0,0,0.0,2026-03-07,
mini_hotel_vizit,Гостиница Визит,8,7,15,87.5,2026-03-07,4000.00
parus_18,Курортный отель Парус,17,0,0,0.0,2026-03-07,
lenatour,Отель  Ленатур,8,6,16,75.0,2026-03-07,3100.00
hotel_rodina_grand_hotel_spa_irkutsk_5,Отель RODINA Grand Hotel & SPA Irkutsk 5*,79,27,54,34.18,2026-03-07,46000.00
hotel_kosmos_5,Отель Космос,16,5,14,31.25,2026-03-07,4675.00
irkutsk_city_lodge,Отель Иркутск Сити Лодж,4,0,0,0.0,2026-03-07,
dom_baykal_guest_house,Меблированные комнаты Дом Байкал,15,10,28,66.67,2026-03-07,3200.00
hotel_flagman_olkhona,Отель Флагман Ольхона,15,5,11,33.33,2026-03-07,16100.00
history_boutiquehotel,Отель History Boutique Hotel & SPA,40,1,2,2.5,2026-03-07,42525.00
shelest,Shelest,0,8,16,0.0,2026-03-07,4960.00
bolshoe_puteshestvie_hotel,Ольхон,0,3,9,0.0,2026-03-07,9828.00
bajkalkemp,Байкал-кэмп,0,1,4,0.0,2026-03-07,2292.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,22,13,26,59.09,2026-03-07,5900.00
tri_kita_2,Отель Три Кита,10,5,12,50.0,2026-03-07,4200.00
