ota_hotel_id,master_id,name,name_en,city,address,latitude,longitude,url,rooms_number,first_seen_date,last_seen_date
sobolinka_parkhotel_2,9761022,Парк-отель Соболинка,Sobolinka Park-Hotel,Байкальск,"квартал Красный Ключ, д.90, Байкальск",51.513905,104.12188,https://ostrovok.ru/hotel/russia/irkutsk/mid9761022/sobolinka_parkhotel_2,38,2026-03-17,2026-04-29
victory_hotel_4,8457230,Гостиница Виктория,Viktoriya Hotel,Иркутск,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",52.283413,104.28748,https://ostrovok.ru/hotel/russia/irkutsk/mid8457230/victory_hotel_4,30,2026-03-17,2026-09-08
vera_baikal,13308776,Отель Вера Байкал,Vera Baykal Hotel,Листвянка,"улица Горького, 8, Листвянка",51.843483,104.87859,https://ostrovok.ru/hotel/russia/irkutsk/mid13308776/vera_baikal,38,2026-03-17,2026-09-10
ibis_irkutsk_center,8734978,Отель Ибис Иркутск Центр,Ibis Irkutsk Tsentr Hotel,Иркутск,"улица Полины Осипенко, дом 5, Иркутск",52.28745,104.27029,https://ostrovok.ru/hotel/russia/irkutsk/mid8734978/ibis_irkutsk_center,128,2026-03-17,2026-09-10
olkhonstory_guest_house,8876953,История Ольхона,Olkhon Story,Хужир,"улица Народная, д.19, Хужир",53.197918,107.35988,https://ostrovok.ru/hotel/russia/irkutsk/mid8876953/olkhonstory_guest_house,6,2026-03-17,2026-09-10
dizajnerskaya_kvartira_v_tsentre_irkutska,9995434,Квартира в центре Иркутска,V Tsentre Irkutska,Иркутск,"улица Российская, д. 14А, Иркутск",52.28573,104.27709,https://ostrovok.ru/hotel/russia/irkutsk/mid9995434/dizajnerskaya_kvartira_v_tsentre_irkutska,,2026-03-17,2026-05-01
evropa_hotel,7828771,Отель Европа,Evropa Hotel,Иркутск,"улица Байкальская, д.69, Иркутск",52.274567,104.304855,https://ostrovok.ru/hotel/russia/irkutsk/mid7828771/evropa_hotel,58,2026-03-17,2026-09-10
irkutsk_city_center,13384478,Отель Иркутск Сити Центр,Irkutsk Siti Centr Hotel,Иркутск,"ул. Чкалова, д. 15, Иркутск",52.28786,104.27297,https://ostrovok.ru/hotel/russia/irkutsk/mid13384478/irkutsk_city_center,206,2026-03-17,2026-09-10
empire_hotel_3,7829344,Гостиница Империя,Empire Hotel,Иркутск,"улица Польских Повстанцев, стр. 1а/2, Иркутск",52.292038,104.2837,https://ostrovok.ru/hotel/russia/irkutsk/mid7829344/empire_hotel_3,49,2026-03-17,2026-09-10
rus_hotel_irkutsk,7774831,Гостиничный Комплекс Русь,Rus Hotel,Иркутск,"улица Свердлова,19, Иркутск",52.28431,104.27926,https://ostrovok.ru/hotel/russia/irkutsk/mid7774831/rus_hotel_irkutsk,56,2026-03-17,2026-09-10
dohodnyij_dom_listratvoj_butikhotel,9024017,Отель Доходный дом Листратовой,Dohodnyij Dom Listratovoj Hotel,Иркутск,"Подгорная улица, д.16, Иркутск",52.277744,104.29269,https://ostrovok.ru/hotel/russia/irkutsk/mid9024017/dohodnyij_dom_listratvoj_butikhotel,15,2026-03-17,2026-09-10
