ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
tajga_hotel,Отель Тайга,2026-03-02,44,30,65,68.18,2730.00
grand_baikal,Отель Гранд Байкал,2026-03-02,64,7,14,10.94,10682.00
vera_baikal,Отель Вера Байкал,2026-03-02,38,28,56,73.68,8835.00
victory_hotel_4,Гостиница Виктория,2026-03-02,30,10,20,33.33,4800.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-03-02,28,1,2,3.57,16000.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,2026-03-02,32,13,31,40.62,11200.00
irkutsk_city_center,Отель Иркутск Сити Центр,2026-03-02,206,44,88,21.36,11000.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-03-02,6,4,9,66.67,2400.00
podlemorie_hotel,Отель Подлеморье,2026-03-02,14,4,9,28.57,6800.00
empire_hotel_3,Гостиница Империя,2026-03-02,49,4,7,8.16,6000.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-03-02,100,11,18,11.0,8850.00
mayak_hotel_listvyanka,Отель Маяк,2026-03-02,54,43,80,79.63,7000.00
lada_8,Отель Гостиница ЛАДА,2026-03-02,22,2,6,9.09,8400.00
gostevoy_dom_sunrise,Sunrise,2026-03-02,0,1,3,100.0,14348.00
hotel_nikola_2,Отель Никола,2026-03-02,27,28,56,100.0,6558.00
guest_house_baykaliya,Байкалия,2026-03-02,0,2,6,100.0,7916.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-03-02,67,3,3,4.48,4000.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,2026-03-02,8,1,2,12.5,6000.00
otel_irkut,Отель Иркут,2026-03-02,30,15,30,50.0,3500.00
sobolinka_parkhotel_2,Парк-отель Соболинка,2026-03-02,38,2,4,5.26,8704.00
gostinitsa_ustilim,Усть-Илим,2026-03-02,80,7,9,8.75,1801.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-03-02,46,27,54,58.7,18000.00
matreshka_hotel,Отель Матрешка,2026-03-02,35,7,9,20.0,4425.00
arena_g_irkutsk,Отель Арена Иркутск,2026-03-02,15,16,32,100.0,2401.00
minihotel_panda,Отель ДиаДэй,2026-03-02,9,2,4,22.22,2880.00
bajkal_hotel,Отель Байкал,2026-03-02,72,25,48,34.72,15000.00
north_star_hotel_9,Отель North Star,2026-03-02,12,4,12,33.33,9800.00
inn_business_hall,Отель Business Hall,2026-03-02,18,6,12,33.33,4420.00
7_dorog,Гостиница 7 дорог,2026-03-02,19,7,14,36.84,6190.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-03-02,128,9,18,7.03,9250.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,2026-03-02,14,3,6,21.43,11165.00
malinovka_3,Малиновка,2026-03-02,0,5,13,100.0,3462.00
hotel_kurshavel_,Отель Куршавель,2026-03-02,15,7,15,46.67,3899.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-03-02,0,1,2,100.0,2331.00
hotel_barguzin,Меблированные комнаты Баргузин,2026-03-02,0,1,1,100.0,9895.00
nebo_baykala_guest_house,Небо Байкала,2026-03-02,0,4,7,100.0,3463.00
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,2026-03-02,25,35,75,100.0,3362.00
baikal_forest_hotel,Отель Baikal Forest,2026-03-02,156,6,14,3.85,10896.00
atlas_hotel_3,Гостиница Атлас,2026-03-02,29,3,5,10.34,5796.00
taiga_2,Отель Taiga,2026-03-02,101,17,21,16.83,5558.00
international_hotel_sayen,SAYEN,2026-03-02,25,13,30,52.0,20400.00
hotel_aziyayevropa,Отель Азия-Европа,2026-03-02,19,10,20,52.63,5100.00
baykal_khan_listvyanka,Отель Ларч,2026-03-02,18,15,35,83.33,8340.00
miniotel_medveditsa,Меблированные комнаты Медведица,2026-03-02,0,8,15,100.0,4660.00
dauria_hotel_2,Отель Даурия,2026-03-02,4,11,21,100.0,5500.00
irkutsk_city_lodge,Отель Иркутск Сити Лодж,2026-03-02,4,1,2,25.0,3732.00
v_samom_tsentre_irkutska_minihotel,Отель В Сердце Иркутска,2026-03-02,6,3,8,50.0,5400.00
parus_18,Курортный отель Парус,2026-03-02,17,5,13,29.41,6029.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-03-02,0,8,13,100.0,2770.00
mihail_strogov,Отель Михаил Строгов,2026-03-02,20,2,2,10.0,7500.00
olkhon_house_guest_family_house,Olkhon Family House,2026-03-02,0,0,0,0.0,
alpari,Гостиница Альпари,2026-03-02,10,4,8,40.0,2400.00
hotel_soyuz_2,Жилое помещение Союз,2026-03-02,84,38,76,45.24,5600.00
baikalskie_prostory,Байкальские просторы,2026-03-02,8,5,11,62.5,3500.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-03-02,56,28,48,50.0,4100.00
yakovlev_hotel,Отель Яковлевъ,2026-03-02,25,8,16,32.0,4178.00
solnechny_guest_house_7,Cолнечный,2026-03-02,0,0,0,0.0,
best_eastern_hotel_zvezda,Отель Звезда,2026-03-02,65,16,32,24.62,9000.00
otel_tsentral,Отель Централь,2026-03-02,48,17,34,35.42,8000.00
lenatour,Отель  Ленатур,2026-03-02,8,7,18,87.5,3100.00
evropa_hotel,Отель Европа,2026-03-02,58,6,8,10.34,8500.00
