ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
wind_lake_guest_house,Wind Lake,0,8,14,0.0,2026-03-05,16416.00
victory_hotel_4,Гостиница Виктория,30,8,16,26.67,2026-03-05,4800.00
vera_baikal,Отель Вера Байкал,38,8,16,21.05,2026-03-05,8835.00
irkutsk_city_center,Отель Иркутск Сити Центр,206,44,88,21.36,2026-03-05,7500.00
otel_tsentral,Отель Централь,48,39,78,81.25,2026-03-05,8000.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,56,19,29,33.93,2026-03-05,4085.00
klubnyij_kvartal_apartments,Клубный Квартал,67,10,10,14.93,2026-03-05,3400.00
evropa_hotel,Отель Европа,58,1,1,1.72,2026-03-05,8500.00
best_eastern_hotel_zvezda,Отель Звезда,65,2,4,3.08,2026-03-05,24968.00
empire_hotel_3,Гостиница Империя,49,5,8,10.2,2026-03-05,5600.00
legend_of_baikal,Отель Легенда Байкала,35,17,33,48.57,2026-03-05,8750.00
bajkal_hotel,Отель Байкал,72,14,28,19.44,2026-03-05,15500.00
miniotel_good_hotel,Мини-Отель Good Hotel,6,2,4,33.33,2026-03-05,2200.00
gostinitsa_ustilim,Усть-Илим,80,31,33,38.75,2026-03-05,1801.00
tajga_hotel,Отель Тайга,44,4,7,9.09,2026-03-05,5400.00
north_star_hotel_9,Отель North Star,12,28,68,233.33,2026-03-05,5100.00
podlemorie_hotel,Отель Подлеморье,14,10,22,71.43,2026-03-05,5000.00
angara_hotel,Ангара Отель,300,56,91,18.67,2026-03-05,5250.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,2,2,5.26,2026-03-05,7527.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,100,24,48,24.0,2026-03-05,9350.00
otel_irkut,Отель Иркут,30,6,12,20.0,2026-03-05,4200.00
hotel_nikola_2,Отель Никола,27,13,28,48.15,2026-03-05,6558.00
yakovlev_hotel,Отель Яковлевъ,25,6,13,24.0,2026-03-05,4431.00
mayak_hotel_listvyanka,Отель Маяк,54,13,21,24.07,2026-03-05,9200.00
archi_apt_apartments,Отель Baikal Archi Apt,7,1,2,14.29,2026-03-05,4725.00
baykal_shale_guest_house,Байкал Шале,11,6,14,54.55,2026-03-05,4452.00
baikal_forest_hotel,Отель Baikal Forest,156,38,78,24.36,2026-03-05,9108.00
inn_business_hall,Отель Business Hall,18,11,21,61.11,2026-03-05,3790.00
7_dorog,Гостиница 7 дорог,19,11,20,57.89,2026-03-05,6190.00
lada_8,Отель Гостиница ЛАДА,22,12,21,54.55,2026-03-05,8400.00
hotel_nuur_hotel,Отель Nuur Hotel,28,6,12,21.43,2026-03-05,7500.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,19,38,41.3,2026-03-05,18000.00
arena_g_irkutsk,Отель Арена Иркутск,15,13,24,86.67,2026-03-05,2443.00
international_hotel_sayen,SAYEN,25,15,32,60.0,2026-03-05,20400.00
minihotel_panda,Отель ДиаДэй,9,3,7,33.33,2026-03-05,2880.00
mihail_strogov,Отель Михаил Строгов,20,10,16,50.0,2026-03-05,5400.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,8,5,10,62.5,2026-03-05,5300.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,0,2,4,0.0,2026-03-05,1582.00
hotel_kurshavel_,Отель Куршавель,15,3,7,20.0,2026-03-05,4366.00
kalina_house_olkhon_baikal_guest_house,Конкордия,8,1,2,12.5,2026-03-05,9396.00
minihotel_albatros,Гостиница Альбатрос,12,6,18,50.0,2026-03-05,2700.00
hotel_khotej,Отель Хотэй,25,5,10,20.0,2026-03-05,10925.00
