ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
taiga_2,Отель Тайга,2026-09-07,101,48,97,47.52,5531.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-09-07,100,51,101,51.0,7000.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-09-07,56,16,28,28.57,3640.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-09-07,48,15,42,31.25,3500.00
hotel_angara,Отель Ангара-Приоритет,2026-09-07,31,5,12,16.13,4500.00
otel_irkut,Отель Иркут,2026-09-07,30,14,25,46.67,3350.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-09-07,46,23,46,50.0,18000.00
hotel_anastasiya_2,Отель ГК Анастасия,2026-09-07,26,28,53,100.0,8190.00
hotel_harats_inn,Отель Harat's inn,2026-09-07,12,10,20,83.33,4352.00
victory_hotel_4,Гостиница Виктория,2026-09-07,30,16,32,53.33,4800.00
hotel_flagman_olkhona,Отель Флагман Ольхона,2026-09-07,15,11,22,73.33,6132.00
grand_baikal,Отель Гранд Байкал,2026-09-07,64,10,19,15.62,3066.00
evropa_hotel,Отель Европа,2026-09-07,58,20,45,34.48,6120.00
baykal_shale_guest_house,Байкал Шале,2026-09-07,11,11,26,100.0,4700.00
hotel_nikola_2,Отель Никола,2026-09-07,27,32,66,100.0,6021.00
divobaykala_flat_1,Диво Байкала 1,2026-09-07,0,1,2,100.0,2550.00
wind_lake_guest_house,Wind Lake,2026-09-07,15,15,30,100.0,14639.00
hotel_olkhonhill,Отель Olkhon-hill,2026-09-07,17,15,30,88.24,5500.00
vera_baikal,Отель Вера Байкал,2026-09-07,38,41,82,100.0,7400.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-09-07,28,6,16,21.43,7800.00
mayak_hotel_listvyanka,Отель Маяк,2026-09-07,54,20,40,37.04,7000.00
baykal_khan_listvyanka,Отель Байкал Хан п.Листвянка,2026-09-07,18,7,14,38.89,6960.00
guest_house_baykaliya,Байкалия,2026-09-07,0,5,10,100.0,7421.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-09-07,6,2,4,33.33,2200.00
podlemorie_hotel,Отель Подлеморье,2026-09-07,14,2,4,14.29,9500.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-09-07,40,41,82,100.0,22443.75
best_eastern_hotel_zvezda,Отель Звезда,2026-09-07,65,39,80,60.0,9096.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-09-07,15,8,15,53.33,3330.00
inn_business_hall,Отель Business Hall,2026-09-07,18,12,23,66.67,3790.00
baza_otdykha_gostiny_dvor_vdokhnovenie,Отель Гостиный Двор Вдохновение,2026-09-07,34,12,29,35.29,5000.00
lyuks_hotel_4,Отель Люкс,2026-09-07,15,8,17,53.33,2473.00
larus,Отель Ларус,2026-09-07,14,4,8,28.57,3784.00
gostevoy_dom_sunrise,Sunrise,2026-09-07,0,4,10,100.0,7421.00
the_sky_of_lake_baikal,Небо Байкала,2026-09-07,0,10,23,100.0,3463.00
eko_baikalwood_hotel,Отель БайкалВуд,2026-09-07,44,12,26,27.27,10925.00
atlas_hotel_3,Гостиница Атлас,2026-09-07,29,4,10,13.79,5392.80
archi_apt_apartments,Отель Baikal Archi Apt,2026-09-07,7,2,4,28.57,3807.00
international_hotel_sayen,SAYEN,2026-09-07,25,13,26,52.0,20000.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-09-07,128,32,64,25.0,7250.00
city_park_hotel_13,Меблированные комнаты City Park,2026-09-07,0,7,14,100.0,2339.00
hotel_kurshavel_,Отель Куршавель,2026-09-07,15,15,32,100.0,4000.00
bolshoe_puteshestvie_hotel,Кемпинг Отель Ольхон,2026-09-07,10,17,47,100.0,3953.00
hotel_arakhis,Отель Арахис,2026-09-07,8,6,12,75.0,3462.00
mini_hotel_vizit,Гостиница Визит,2026-09-07,8,3,7,37.5,2671.00
malinovka_3,Малиновка,2026-09-07,0,5,13,100.0,2473.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-09-07,0,2,4,100.0,1483.00
matreshka_hotel,Отель Матрешка,2026-09-07,35,27,53,77.14,4560.00
alaniya,Алания,2026-09-07,0,12,33,100.0,3958.00
minihotel_albatros,Гостиница Альбатрос,2026-09-07,12,9,22,75.0,2900.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,2026-09-07,119,74,150,62.18,7579.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,2026-09-07,14,11,22,78.57,8108.00
angara_hotel,Ангара Отель,2026-09-07,300,59,110,19.67,5250.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,2026-09-07,59,6,12,10.17,6900.00
montana_hostel,Меблированные комнаты Montana,2026-09-07,22,6,6,27.27,900.00
miniotel_serdtse_baykala,Сердце Байкала,2026-09-07,0,5,16,100.0,12369.00
magas,Отель на Перроне,2026-09-07,25,17,32,68.0,1483.00
gostevoj_dom_otdyih_na_bajkale,Отель Отдых на Байкале,2026-09-07,11,9,21,81.82,2972.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-09-07,0,13,27,100.0,2572.00
uda_2,Отель УДА,2026-09-07,45,27,40,60.0,1682.00
armat_hotel,Отель Армат,2026-09-07,40,59,118,100.0,5200.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-09-07,140,27,54,19.29,5343.00
lotos_hotel,Отель Лотос,2026-09-07,23,13,27,56.52,1200.00
less_guest_house,Меблированные комнаты Лесс,2026-09-07,0,6,11,100.0,9792.00
gostinitsa_solntse,Гостиница Солнце,2026-09-07,58,4,5,6.9,11523.00
guest_house_baykal,В объятиях Байкала,2026-09-07,0,4,12,100.0,7000.00
empire_hotel_3,Гостиница Империя,2026-09-07,49,3,5,6.12,5300.00
olkhonstory_guest_house,История Ольхона,2026-09-07,6,12,24,100.0,7048.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,2026-09-07,22,15,30,68.18,6300.00
7_dorog,Гостиница 7 дорог,2026-09-07,19,7,14,36.84,6000.00
legendy_baykala,Гостиница Легенды Байкала,2026-09-07,18,6,9,33.33,1163.00
domik_na_kholme_guest_house,Меблированные комнаты Домик на холме,2026-09-07,0,1,3,100.0,16920.00
baikal_view_hotel,Baikal View Hotel,2026-09-07,99,81,172,81.82,13423.00
tikhaya_gavan_4,"Отель ""Тихая Гавань""",2026-09-07,12,3,8,25.0,4057.00
dauria_hotel_2,Отель Даурия,2026-09-07,4,17,36,100.0,5500.00
