ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
grand_baikal,Отель Гранд Байкал,64,12,22,18.75,2026-02-26,16317.00
taiga_2,Отель Taiga,101,73,117,72.28,2026-02-26,5585.00
yakovlev_hotel,Отель Яковлевъ,25,6,13,24.0,2026-02-26,4700.00
victory_hotel_4,Гостиница Виктория,30,4,8,13.33,2026-02-26,4800.00
evropa_hotel,Отель Европа,58,15,27,25.86,2026-02-26,5500.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,32,8,20,25.0,2026-02-26,10200.00
hotel_nikola_2,Отель Никола,27,15,32,55.56,2026-02-26,6558.00
hotel_khotej,Отель Хотэй,25,2,4,8.0,2026-02-26,10925.00
empire_hotel_3,Гостиница Империя,49,9,15,18.37,2026-02-26,5100.00
bajkal_hotel,Отель Байкал,72,11,22,15.28,2026-02-26,16000.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,2,2,5.26,2026-02-26,10622.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,56,20,35,35.71,2026-02-26,4100.00
vera_baikal,Отель Вера Байкал,38,31,62,81.58,2026-02-26,8265.00
tajga_hotel,Отель Тайга,44,4,10,9.09,2026-02-26,7000.00
gostinitsa_ustilim,Усть-Илим,80,15,17,18.75,2026-02-26,1801.00
divobaykala_flat_1,Диво Байкала 1,0,1,2,0.0,2026-02-26,2425.00
malinovka_3,Малиновка,0,2,7,0.0,2026-02-26,6924.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,0,1,2,0.0,2026-02-26,2400.00
hotel_dacha_baikaleco,Семейный отель Дача БайкалЭко,10,1,1,10.0,2026-02-26,26420.00
olkhonstory_guest_house,Ольхон стори,6,4,6,66.67,2026-02-26,9400.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,9,18,19.57,2026-02-26,21000.00
podlemorie_hotel,Отель Подлеморье,14,3,7,21.43,2026-02-26,6800.00
baikal_view_hotel,Baikal View Hotel,99,4,8,4.04,2026-02-26,16020.00
nebo_baykala_guest_house,Небо Байкала,0,3,5,0.0,2026-02-26,3463.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,14,1,2,7.14,2026-02-26,12900.00
baykal_shale_guest_house,Байкал Шале,11,4,10,36.36,2026-02-26,4452.00
otel_irkut,Отель Иркут,30,6,12,20.0,2026-02-26,3500.00
north_star_hotel_9,Отель North Star,12,14,32,116.67,2026-02-26,6500.00
