merged_id,city,name,address,ostrovok_free_rooms,tvil_free_rooms,avg_free_rooms,min_free_rooms,max_free_rooms,occupancy_percent,ostrovok_capacity,tvil_capacity
1,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",10,5,7.50,5,10,13.39,11,11
2,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",9,8,8.50,8,9,56.66,13,12
3,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",11,3,7.00,3,11,28.00,23,7
4,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",23,7,15.00,7,23,53.57,46,20
5,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",14,0,7.00,0,14,23.34,25,0
6,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",77,13,45.00,13,77,15.00,124,22
7,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",12,9,10.50,9,12,55.27,26,32
8,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",40,10,25.00,10,40,71.43,68,20
9,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",13,11,12.00,11,13,70.59,30,26
10,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",13,8,10.50,8,13,55.27,26,16
11,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",6,3,4.50,3,6,37.50,8,5
12,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",12,11,11.50,11,12,56.19,19,20
13,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",32,6,19.00,6,32,33.63,54,10
14,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",196,7,101.50,7,196,67.42,408,19
15,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",13,7,10.00,7,13,71.43,26,20
16,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",60,2,31.00,2,60,31.32,124,4
17,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",,,,,,,,
18,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",61,7,34.00,7,61,85.00,123,16
19,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",8,7,7.50,7,8,26.30,17,18
20,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",35,5,20.00,5,35,78.34,75,9
21,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",,,,,,,,
22,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",0,10,5.00,0,10,17.24,0,24
23,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",15,6,10.50,6,15,45.66,27,10
24,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",53,14,33.50,14,53,28.11,87,34
25,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",,,,,,,,
26,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",8,3,5.50,3,8,17.74,15,6
27,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",,,,,,,,
28,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",5,2,3.50,2,5,20.00,9,4
29,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",21,8,14.50,8,21,32.95,44,19
30,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",2,2,2.00,2,2,3.58,2,4
31,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",,,,,,,,
32,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",7,5,6.00,5,7,10.16,13,11
33,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",7,4,5.50,4,7,55.00,14,10
34,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",6,4,5.00,4,6,25.00,12,8
35,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",,,,,,,,
36,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",1,1,1.00,1,1,2.83,1,1
37,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",0,3,1.50,0,3,2.17,0,9
38,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",8,6,7.00,6,8,50.00,18,14
39,Иркутск,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",4,3,3.50,3,4,15.84,8,5
40,Иркутск,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",58,6,32.00,6,58,49.30,116,14
41,Братск,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",2,,2.00,2,2,40.00,6,
42,Байкальск,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",1,1,1.00,1,1,1.56,1,1
43,Иркутск,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",0,4,2.00,0,4,8.34,0,8
44,Сарма,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",,,,,,,,
45,Иркутск,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",44,,44.00,44,44,146.67,88,
46,Листвянка,Отель Вера Байкал,"улица Горького, 8, Листвянка",40,,40.00,40,40,105.26,80,
47,Иркутск,Отель Ибис Иркутск Центр,"улица Полины Осипенко, дом 5, Иркутск",18,,18.00,18,18,14.06,35,
48,Хужир,Ольхон стори,"улица Народная, д.19, Хужир",4,,4.00,4,4,66.67,6,
49,Иркутск,Квартира в центре Иркутска,"улица Российская, д. 14А, Иркутск",,,,,,,,
50,Иркутск,Отель Европа,"улица Байкальская, д.69, Иркутск",53,,53.00,53,53,91.38,88,
51,Иркутск,Отель Иркутск Сити Центр,"ул. Чкалова, д. 15, Иркутск",140,,140.00,140,140,67.96,280,
52,Иркутск,Гостиница Империя,"ул. Польских Повстанцев, 1Б, Иркутск",10,,10.00,10,10,20.41,17,
53,Иркутск,Мини-Отель Good Hotel,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",3,,3.00,3,3,50.00,6,
54,Хужир,Sunrise,"Первомайская улица, 25А, Хужир",5,,5.00,5,5,0.00,12,
55,Иркутск,AZIMUT Отель Аэропорт Иркутск 4*,"ул. Ширямова, 10А, Иркутск",38,,38.00,38,38,38.00,78,
56,Листвянка,Отель Байкал,"Академическая улица, 13, Листвянка",23,,23.00,23,23,31.94,45,
57,Иркутск,Премиум-отель Пушкин,"ул. Сухэ-Батора, 18, Иркутск",40,,40.00,40,40,86.96,80,
58,Иркутск,Отель Business Hall,"улица Свердлова, д.10, Иркутск",17,,17.00,17,17,94.44,32,
59,Листвянка,Байкалия,"Горная улица, 15, Листвянка",5,,5.00,5,5,0.00,15,
60,Никола,Отель Никола,"Иркутская область, Листвянка, Байкальский тракт 64-й км, поселок Никола, улица Ангарская, д. 15, Никола",28,,28.00,28,28,103.70,58,
61,Иркутск,SAYEN,"ул. Карла Маркса, 13Б, Иркутск",19,,19.00,19,19,76.00,42,
62,Иркутск,Отель Гостевой Дом Хейвица,"улица Дзержинского, д. 44, Иркутск",4,,4.00,4,4,50.00,7,
63,Иркутск,Меблированные комнаты в Иркутске,"переулок Алексеева, д.2А, Иркутск",3,,3.00,3,3,0.00,6,
64,Иркутск,Отель ДиаДэй,"улица Профсоюзная, д. 10/2, Иркутск",6,,6.00,6,6,66.67,14,
65,Усть-Илимск,Усть-Илим,"пр-т Дружбы Народов, д. 2, Усть-Илимск",30,,30.00,30,30,37.50,34,
66,Иркутск,Отель Арена Иркутск,"ул. Желябова, 8А, Иркутск",16,,16.00,16,16,106.67,30,
67,Байкальск,Отель Куршавель,"микрорайон Южный, 1-й квартал, д.6, Байкальск",,,,,,,,
68,Листвянка,Отель Ундина,"Ulitsa Kulikova,6, Листвянка",13,,13.00,13,13,43.33,24,
69,Иркутск,Меблированные комнаты City Park,"улица Красных Мадьяр, 29, Иркутск",8,,8.00,8,8,0.00,8,
70,Хужир,Отель Хотэй,"Ольхонская улица, 10, Хужир",0,,0.00,0,0,0.00,0,
71,Иркутск,Жилое помещение Союз,"проезд Юрия Тена, д.12/4, Иркутск",69,,69.00,69,69,82.14,138,
72,Иркутск,Меблированные комнаты Дом Байкал,"улица Лапина, д. 14, Иркутск",12,,12.00,12,12,80.00,36,
73,Листвянка,Меблированные комнаты Байкал,"улица Горная, д. 8А, Листвянка",8,,8.00,8,8,0.00,14,
74,Листвянка,Сердце Байкала,"улица Островского, 39, Листвянка",3,,3.00,3,3,0.00,5,
75,Иркутск,Меблированные комнаты Montana,"улица Карла Либкнехта, д.6, Иркутск",,,,,,,,
76,Большое Голоустное,Меблированные комнаты Медведица,"улица Кирова,д. 132а, Большое Голоустное",3,,3.00,3,3,0.00,6,
77,Хужир,Отель Гостиница ЛАДА,"улица Таёжная, д.30, Хужир",0,,0.00,0,0,0.00,0,
78,Хужир,Загородный отель Шамбала,"ул Северная, з/у 12А, Хужир",9,,9.00,9,9,90.00,18,
79,Листвянка,Отель Ларч,"ул. Гудина, 22А, Листвянка",0,,0.00,0,0,0.00,0,
80,Хужир,Меблированные комнаты Баргузин,"улица Ворошилова, д.23А, Хужир",4,,4.00,4,4,0.00,4,
81,Иркутск,Отель Централь,"переулок Богданова 8, Иркутск",45,,45.00,45,45,93.75,90,
82,Листвянка,Байкальские просторы,"улица Чапаева, д. 41, Листвянка",7,,7.00,7,7,87.50,16,
83,Листвянка,Отель Легенда Байкала,"Улица Исток Ангары, д.11, Листвянка",11,,11.00,11,11,31.43,21,
84,Иркутск,Отель Baikal Archi Apt,"ул Некрасова, стр. 3а, помещ. 2, Иркутск",6,,6.00,6,6,85.71,13,
85,Листвянка,Меблированные комнаты Лесс,"улица Куликова, д. 102а, Листвянка",7,,7.00,7,7,0.00,13,
86,Иркутск,Гостиница Визит,"ул Софьи Перовской, стр. 30, помещ. 4, Иркутск",7,,7.00,7,7,87.50,15,
87,Листвянка,Курортный отель Парус,"улица Горького, д.93А, Листвянка",0,,0.00,0,0,0.00,0,
88,Листвянка,Малиновка,"улица Суворова, д. 5а, Листвянка",3,,3.00,3,3,0.00,9,
89,Иркутск,Отель RODINA Grand Hotel & SPA Irkutsk 5*,"ул. Николая Гаврилова, стр. 2, Иркутск",33,,33.00,33,33,41.77,66,
90,Иркутск,Отель Иркутск Сити Лодж,"ул Байкальская, д. 124/3, Иркутск",0,,0.00,0,0,0.00,0,
91,Иркутск,Отель Веста,"улица Сурнова, д.30/1, Иркутск",22,,22.00,22,22,81.48,47,
92,Листвянка,Алания,"улица Суворова, д.5В, Листвянка",12,,12.00,12,12,0.00,33,
93,Иркутск,Отель Рояль,"улица Декабрьских событий, д. 31, Иркутск",0,,0.00,0,0,0.00,0,
94,Хужир,Конкордия,"улица Народная, д.15, поселок Хужир, Хужир",6,,6.00,6,6,75.00,8,
95,Байкальск,Парк-отель Белый Соболь,"мкрн. Красный Ключ, д.93, Байкальск",,,,,,,,
96,Иркутск,Отель В Сердце Иркутска,"Киевская улица, д.34А, Иркутск",6,,6.00,6,6,100.00,12,
97,Листвянка,Гостиница Крестовая падь,"ул. Горная, 14-А, Листвянка",0,,0.00,0,0,0.00,0,
98,Бугульдейка,Байкал-кэмп,"Россия, Иркутская область,  Бугульдейка, ул. Пушкина, д. 15, Бугульдейка",,,,,,,,
99,Иркутск,Отель Динамо,"улица Баррикад, д.42, Иркутск",22,,22.00,22,22,56.41,42,
100,Листвянка,Меблированные комнаты Ёлочка,"улица Чапаева, д.8, Листвянка",9,,9.00,9,9,150.00,18,
101,Листвянка,Отель Созвездие Байкала,"Улица Партизанская, д.14, Листвянка",15,,15.00,15,15,68.18,30,
102,Листвянка,Меблированные комнаты БРИЗ,"улица Гудина,71, Листвянка",8,,8.00,8,8,50.00,18,
103,Листвянка,Байкал Шале,"улица Гудина, д.75, Листвянка",5,,5.00,5,5,45.45,13,
104,Байкальск,Baikal Best Edelweiss,"микрорайон Красный ключ, д.66, Байкальск",,,,,,,,
105,Иркутск,Грин Отель,"улица Лыткина, д. 32, Иркутск",21,,21.00,21,21,95.45,36,
106,Листвянка,Байкал 51,"Иркутский муниципальный округ, Байкальский тракт, 51-й километр, 3, Листвянка",,,,,,,,
107,Тулун,Спорткомплекс Озерный Тулун на Карбышева 185,"улица Карбышева, д.185, Тулун",2,,2.00,2,2,0.00,4,
108,Иркутск,Меблированные комнаты Брусника,"Улица Гоголя, д.61, Иркутск",,,,,,,,
109,Нижнеудинск,Отель УДА,"улица Ленина, д.1, Нижнеудинск",34,,34.00,34,34,75.56,52,
110,Жигалово,Отель  Ленатур,"улица Советская, д.26, Жигалово",3,,3.00,3,3,37.50,8,
111,Хужир,Отель Отдых на Байкале,"улица Горького, 3А, Хужир",0,,0.00,0,0,0.00,0,
112,Листвянка,Отель Dream of Baikal,"улица Горького, д.105, Листвянка",0,,0.00,0,0,0.00,0,
113,Нижнеудинск,Отель Люкс,"улица Просвещения, д. 17, Нижнеудинск",13,,13.00,13,13,86.67,14,
114,Иркутск,Отель Гостиница Академическая,"улица Лермонтова, д. 271А, Иркутск",26,,26.00,26,26,54.17,35,
115,Иркутск,Гостиница Солнце,"улица Байкальская, д.295 Б, Иркутск",6,,6.00,6,6,10.34,8,
116,Братск,Отель Три Кита,"Депутатская улица, д. 3а, Братск",,,,,,,,
117,Братск,Гостиница Восточная,"улица Железнодорожная, 1, Братск",0,,0.00,0,0,0.00,0,
118,Листвянка,Отель Натали,"улица Чапаева, д.91, Листвянка",6,,6.00,6,6,50.00,10,
119,Хужир,У Лукоморья,"посёлок Хужир,Песчаная улица, д.5, Хужир",0,,0.00,0,0,0.00,0,
120,Хужир,Меблированные комнаты Аура,"Иркутская улица, д.23, Хужир",0,,0.00,0,0,0.00,0,
121,Хужир,Olkhon Family House,"улица Рабочая, д.2, Хужир",0,,0.00,0,0,0.00,0,
122,Никола,Отель ГК Анастасия,"улица Ангарская, 8/2, Никола",32,,32.00,32,32,123.08,58,
123,Ангарск,Отель Меридиан,"26 квартал, дом 10, Ангарск",,,,,,,,
124,Ангарск,Олимпиада,"ул. Чайковского, д.48, Ангарск",9,,9.00,9,9,31.03,12,
125,Хужир,Отель Звезда Кочевника,"Пляжная улица, д.20, Хужир",82,,82.00,82,82,0.00,180,
126,Иркутск,Отель Smart Hotel Иркутск,"улица Челнокова, д.1, Иркутск",,,,,,,,
127,Хужир,Forest Home,"улица Мира, 14, Хужир",,,,,,,,
128,Никола,Отель Флагман,"поселок Никола, улица Нагорная, д.41, Никола",4,,4.00,4,4,40.00,7,
129,Ангарск,Отель ПушкинЪ,"улица Мира, д. 18, Ангарск",11,,11.00,11,11,47.83,22,
130,Большое Голоустное,Momant house,"улица Харануты, д. 19В, Большое Голоустное",0,,0.00,0,0,0.00,0,
131,Молодёжный,Отель Пекин,"п. Молодежный, улица Кузнецовой, д.11, Молодёжный",75,,75.00,75,75,87.21,75,
132,Хужир,Арт-отель Порт Ольхон,"ул. Байкальская, 2, Хужир",0,,0.00,0,0,0.00,0,
133,Слюдянка,"Отель ""Тихая Гавань""","улица 40 лет Октября, 56, Слюдянка",3,,3.00,3,3,25.00,7,
134,Иркутск,Гостиница на Волжской,"ул. Волжская, д. 14А, Иркутск",17,,17.00,17,17,56.67,47,
135,Иркутск,Юпитер,"Россия, Иркутская область, Иркутск, ул. Шевцова, д. 35, Иркутск",3,,3.00,3,3,13.04,6,
136,Братск,Отель ШВЕДКА,"ул. Мира, д. 25, Братск, Братск",,,,,,,,
137,Листвянка,Гостевой дом Мелодия Байкала,"Листвянское муниципальное образование, посёлок Никола, Листвянка",1,,1.00,1,1,0.00,2,
138,Утулик,Меблированные комнаты Шишки,"п. Утулик, ул. Ленская, д.17, Утулик",,,,,,,,
139,Иркутск,Отель HISTORY Бутик-отель и СПА,"улица 3 Июля, д.26, Иркутск",,,,,,,,
140,Шелехов,Отель Катанца,"Центральный проспект, д.7, Шелехов",0,,0.00,0,0,0.00,0,
141,Иркутск,Гостиница Комфорт,"улица Трилиссера, д.57 помещ.1, Иркутск",0,,0.00,0,0,0.00,0,
142,Байкальск,Гостевой дом Chilla_villa_baikal,"1-я Байкальская улица, 26, Байкальск",,,,,,,,
143,Железногорск-Илимский,Отель Магнетит,"Квартал, 2, д. 72, Железногорск-Илимский",30,,30.00,30,30,54.55,45,
144,Саянск,Отель Прасковья,"микрорайон Юбилейный, д.13, Саянск",2,,2.00,2,2,16.67,3,
145,Листвянка,Отель Парк Байкальские сезоны,"Иркутская Область, м.р-н Иркутский, г.п. Листвянское, п Ангарские Хутора, ул Прибрежная, зд. 5а, Листвянка",20,,20.00,20,20,90.91,39,
146,Байкальск,Отель Маргобай,"мкр. Строитель, пер. Берёзовый, д. 9, Байкальск",19,,19.00,19,19,135.71,32,
147,Листвянка,Гостиница Прибайкальская,"62 км. Байкальского Тракта, Листвянка",4,,4.00,4,4,4.60,6,
148,Усть-Кут,Отель Глория,"ул Л.Толстого, д. 36, Усть-Кут",3,,3.00,3,3,21.43,3,
149,Иркутск,Сатурн,"Россия, 664002, Иркутская область, Иркутск, ул. Красный путь, д. 77, Иркутск",,,,,,,,
150,Култук,Trakstop 38,"Komsomol'skaja 23/3, Култук",1,,1.00,1,1,9.09,1,
151,Куркут,Отель Мир Байкала,"село Сахюрта, бухта Базарная, Куркут",9,,9.00,9,9,31.03,18,
152,Иркутск,Планета,"ул. Розы Люксембург, 144, Иркутск",6,,6.00,6,6,18.18,12,
153,Иркутск,Байкал Капсул (Байкальская капсула),"Россия, Иркутская область, Иркутск, ул. Трилиссера, д. 141в, Иркутск",8,,8.00,8,8,0.00,8,
154,Иркутск,Витим,"Россия, Иркутская область, Иркутск, ул. Терешковой, д. 2а, Иркутск",4,,4.00,4,4,0.00,7,
155,Усть-ордынский,Отель Метелица,"Иркутская обл, Усть-Ордынский, 68-км автотрассы Иркутск-Качуг, Усть-ордынский",1,,1.00,1,1,20.00,2,
156,Иркутск,Апартаменты Home Hotel (Хоум Хотел) на улице Пискунова,"ул. Пискунова, 142/5, Иркутск",2,,2.00,2,2,0.00,2,
157,Бугульдейка,Гостевой дом ISIGER BAIKAL,"Байкальская ул. 18, Бугульдейка",,,,,,,,
158,Куркут,"Мандархан, о.Байкал","Иркутская область, Ольхонский район, Шара-Тоготское муниципальное  образование, д. Куркут, территория местность Мандархан, Куркут",1,,1.00,1,1,0.00,1,
159,Бурдугуз,Hygge Barn,"Нижняя набережная 5, Бурдугуз",,,,,,,,
160,Солзан,Меблированные комнаты на Горной Улице 7Б,"улица Горная, д. 7Б, Солзан",,,,,,,,
161,Железногорск-Илимский,Отель Изумруд,"7-й квартал, д.20, Железногорск-Илимский",8,,8.00,8,8,88.89,8,
162,Большое Голоустное,Для компании,"улица Кирова, д.2Б, Большое Голоустное",,,,,,,,
163,Железногорск-Илимский,Отель Комильфо,"улица Иващенко, д.20, Железногорск-Илимский",7,,7.00,7,7,58.33,7,
164,Большая Речка,Loft House 38,"51.947037, 104.753515, Большая Речка",0,,0.00,0,0,0.00,0,
165,Иркутск,Гостиница Альбатрос,"улица Ширямова, стр.15б/1, Иркутск",7,,7.00,7,7,58.33,20,
166,Иркутск,Отель Marx Hotel,"улица Карла Маркса, д.15 А, Иркутск",0,,0.00,0,0,0.00,0,
167,Братск,Отель Taiga,"улица Мира, дом 35, Братск",35,,35.00,35,35,34.65,66,
168,Хужир,Отель Флагман Ольхона,"улица Молодёжная, д.1, Хужир",,,,,,,,
169,Иркутск,Гостиница Riverside,"улица Байкальская, д.234 В/7, Иркутск",1,,1.00,1,1,12.50,2,
170,Тулун,Спорткомплекс Озерный Тулун,"улица Карбышева, д.185, Тулун",1,,1.00,1,1,0.00,1,
171,Братск,Времена Года,"Улица Подбельского 12, Братск",0,,0.00,0,0,0.00,0,
172,Братск,Отель Луна,"Комсомольская улица, д. 65А, Братск",3,,3.00,3,3,13.64,5,
