ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
grand_baikal,Отель Гранд Байкал,64,6,12,9.38,2026-02-23,14243.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,2,3,5.26,2026-02-23,9050.00
taiga_2,Отель Taiga,101,65,105,64.36,2026-02-23,5564.00
mayak_hotel_listvyanka,Отель Маяк,54,22,38,40.74,2026-02-23,9200.00
bajkal_hotel,Отель Байкал,72,13,26,18.06,2026-02-23,15000.00
irkutsk_city_center,Irkutsk City Center,206,6,12,2.91,2026-02-23,8500.00
hotel_nikola_2,Отель Никола,27,16,34,59.26,2026-02-23,6558.00
hotel_nuur_hotel,Отель Nuur hotel,28,7,14,25.0,2026-02-23,7800.00
tajga_hotel,Отель Тайга,44,4,12,9.09,2026-02-23,7600.00
empire_hotel_3,Гостиница Империя,49,11,20,22.45,2026-02-23,5300.00
vera_baikal,Отель Вера Байкал,38,4,8,10.53,2026-02-23,10260.00
olkhonstory_guest_house,Ольхон стори,6,4,6,66.67,2026-02-23,9455.00
nochleg_i_zavtrak_bb_shambala,Загородный отель Шамбала,10,1,2,10.0,2026-02-23,12142.00
malinovka_3,Малиновка,0,3,7,0.0,2026-02-23,3483.00
gostevoy_dom_sunrise,Sunrise,0,2,6,0.0,2026-02-23,13436.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,14,1,2,7.14,2026-02-23,8800.00
baikal_view_hotel,Baikal View Hotel,99,14,28,14.14,2026-02-23,18810.00
otel_irkut,Отель Иркут,30,13,26,43.33,2026-02-23,3900.00
podlemorie_hotel,Отель Подлеморье,14,1,2,7.14,2026-02-23,7500.00
baykal_shale_guest_house,Байкал Шале,11,2,4,18.18,2026-02-23,4478.00
miniotel_good_hotel,Мини-Отель Good Hotel,6,3,6,50.0,2026-02-23,2200.00
nebo_baykala_guest_house,Небо Байкала,0,4,10,0.0,2026-02-23,3483.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,16,32,34.78,2026-02-23,21000.00
matreshka_hotel,Отель Matreshka,35,20,36,57.14,2026-02-23,4716.00
dauria_hotel_2,Отель Даурия,4,17,33,425.0,2026-02-23,5500.00
atlas_hotel_3,Гостиница Атлас,29,2,4,6.9,2026-02-23,6831.00
